game_date_est,game_sequence,game_id,team_id,team_abbreviation,team_city_name,team_name,team_wins_losses,pts_qtr1,pts_qtr2,pts_qtr3,pts_qtr4,pts_ot1,pts_ot2,pts_ot3,pts_ot4,pts_ot5,pts_ot6,pts_ot7,pts_ot8,pts_ot9,pts_ot10,pts,fg_pct,ft_pct,fg3_pct,ast,reb,tov
2024-04-14T00:00:00,1,0022301186,1610612764,WAS,Washington,Wizards,15-67,30,29,30,33,0,0,0,0,0,0,0,0,0,0,122,0.476,1.0,0.368,33,36,11
2024-04-14T00:00:00,1,0022301186,1610612738,BOS,Boston,Celtics,64-18,34,35,38,25,0,0,0,0,0,0,0,0,0,0,132,0.573,0.667,0.5,29,48,14
2024-04-14T00:00:00,2,0022301187,1610612766,CHA,Charlotte,Hornets,21-61,24,33,31,32,0,0,0,0,0,0,0,0,0,0,120,0.505,0.818,0.475,36,47,9
2024-04-14T00:00:00,2,0022301187,1610612739,CLE,Cleveland,Cavaliers,48-34,33,25,38,14,0,0,0,0,0,0,0,0,0,0,110,0.473,0.667,0.485,30,43,14
2024-04-14T00:00:00,3,0022301188,1610612737,ATL,Atlanta,Hawks,36-46,34,38,21,22,0,0,0,0,0,0,0,0,0,0,115,0.438,0.926,0.333,25,32,15
2024-04-14T00:00:00,3,0022301188,1610612754,IND,Indiana,Pacers,47-35,49,37,39,32,0,0,0,0,0,0,0,0,0,0,157,0.65,0.8,0.528,41,48,14
2024-04-14T00:00:00,4,0022301189,1610612761,TOR,Toronto,Raptors,25-57,24,22,25,32,0,0,0,0,0,0,0,0,0,0,103,0.422,0.857,0.265,23,41,19
2024-04-14T00:00:00,4,0022301189,1610612748,MIA,Miami,Heat,46-36,24,43,27,24,0,0,0,0,0,0,0,0,0,0,118,0.529,0.895,0.25,29,46,19
2024-04-14T00:00:00,5,0022301190,1610612741,CHI,Chicago,Bulls,39-43,28,19,35,27,10,0,0,0,0,0,0,0,0,0,119,0.485,0.813,0.258,25,44,12
2024-04-14T00:00:00,5,0022301190,1610612752,NYK,New York,Knicks,50-32,29,21,26,33,11,0,0,0,0,0,0,0,0,0,120,0.505,0.762,0.375,27,53,21
2024-04-14T00:00:00,6,0022301191,1610612749,MIL,Milwaukee,Bucks,49-33,30,12,29,17,0,0,0,0,0,0,0,0,0,0,88,0.4,0.913,0.259,16,34,17
2024-04-14T00:00:00,6,0022301191,1610612753,ORL,Orlando,Magic,47-35,22,25,33,33,0,0,0,0,0,0,0,0,0,0,113,0.494,0.947,0.314,27,43,11
2024-04-14T00:00:00,7,0022301192,1610612751,BKN,Brooklyn,Nets,32-50,23,21,20,22,0,0,0,0,0,0,0,0,0,0,86,0.386,0.765,0.265,19,42,12
